# x1,x2,beamstop
1.888970573190917435e+00,-2.962056983028347190e+00,-7.673201616853475571e-03
1.888970573190917435e+00,-2.962056983028347190e+00,-1.648705219849944115e-02
1.888970573190917435e+00,-2.962056983028347190e+00,1.044828677549958229e-02
1.911919813449678429e+00,-2.962056983028347190e+00,-1.169632499416706217e-02
1.938590552128779620e+00,-2.962056983028347190e+00,-5.210617867609235176e-03
1.988830780803375831e+00,-2.962056983028347190e+00,-1.016961953913209094e-02
2.048995005265538794e+00,-2.962056983028347190e+00,6.522994954138994217e-03
2.176766451030545113e+00,-2.962056983028347190e+00,-1.856552747388717783e-02
2.274765909432829858e+00,-2.962056983028347190e+00,-6.635774237413460952e-03
2.383309613359415380e+00,-2.962056983028347190e+00,-1.024930582692151759e-02
2.516043057018208629e+00,-2.962056983028347190e+00,-6.332496802011755577e-03
2.689092733564017124e+00,-2.962056983028347190e+00,-1.458590850234031677e-02
2.811902181435236514e+00,-2.962056983028347190e+00,-1.163743436336517334e-02
3.001698600872579448e+00,-2.962056983028347190e+00,-6.637136296678836089e-03
3.185912772679408533e+00,-2.962056983028347190e+00,-1.968689806138512743e-02
3.427810170001507117e+00,-2.962056983028347190e+00,-3.455257198462513557e-03
3.631872333383483920e+00,-2.962056983028347190e+00,-1.953206180284383642e-02
3.883693726493156362e+00,-2.962056983028347190e+00,-2.260447945445775986e-03
4.118768376711301471e+00,-2.962056983028347190e+00,-1.043164714550015582e-02
4.376172017451487761e+00,-2.962056983028347190e+00,-3.164203371852636337e-03
4.608145418986012487e+00,-2.962056983028347190e+00,-1.826453177879217016e-02
4.887878050248232853e+00,-2.962056983028347190e+00,-8.870742749422788620e-03
5.152724687829099537e+00,-2.962056983028347190e+00,-1.001020815844300138e-02
5.392141086204304656e+00,-2.962056983028347190e+00,-1.468283977980489041e-02
5.648304227471044214e+00,-2.962056983028347190e+00,-2.561984195684430254e-02
5.872834632164888546e+00,-2.962056983028347190e+00,-1.002210580433371412e-02
6.151947013690389099e+00,-2.962056983028347190e+00,-1.511821756139397621e-02
6.412451903114188667e+00,-2.962056983028347190e+00,-1.529594107220644261e-02
6.645665804122160125e+00,-2.962056983028347190e+00,-9.242825520535680184e-03
6.903689694599073334e+00,-2.962056983028347190e+00,-7.558936097969981560e-03
7.134422596660151328e+00,-2.962056983028347190e+00,-5.559956965347501168e-03
7.416015977132545345e+00,-2.962056983028347190e+00,-7.930786038438109031e-03
7.677141116293064727e+00,-2.962056983028347190e+00,-1.218486577272415161e-02
7.921519512562063881e+00,-2.962056983028347190e+00,-7.627011897662905326e-03
8.180163652775689798e+00,-2.962056983028347190e+00,-1.280669045324089872e-02
8.402833308259367584e+00,-2.962056983028347190e+00,-1.081441684315676000e-02
8.684426688731761601e+00,-2.962056983028347190e+00,-2.189353108406066895e-03
8.950513825786075017e+00,-2.962056983028347190e+00,-9.168645677466447097e-03
9.176284729953366082e+00,-2.962056983028347190e+00,-7.120193913578987122e-03
9.432447871220105640e+00,-2.962056983028347190e+00,-1.053900535528895510e-02
9.661940273807736901e+00,-2.962056983028347190e+00,-1.865971134975552559e-02
9.944153904016850731e+00,-2.962056983028347190e+00,-9.965159309406335097e-03
1.020776004212427068e+01,-2.962056983028347190e+00,-8.759542834013700485e-03
1.045089793891981600e+01,-2.962056983028347190e+00,-1.757420444240209711e-02
1.070830157966000229e+01,-2.962056983028347190e+00,-5.187191224346188179e-03
1.093531298330074009e+01,-2.962056983028347190e+00,-1.140644308179616928e-02
1.121938736272002757e+01,-2.962056983028347190e+00,1.788585601995018592e-03
1.147679100346021386e+01,-2.962056983028347190e+00,-9.364894746491936317e-03
1.170814415525801166e+01,-2.962056983028347190e+00,-4.750439741959544548e-03
1.196554779599819796e+01,-2.962056983028347190e+00,-1.379661262035369873e-02
1.219938194674289633e+01,-2.962056983028347190e+00,-3.047559099889074474e-04
1.247415258011133687e+01,-2.962056983028347190e+00,-2.171203959733247757e-02
1.273279672032495569e+01,-2.962056983028347190e+00,-1.377954225366240237e-02
1.297779536633068176e+01,-2.962056983028347190e+00,-5.432664571951573151e-03
1.323581925680758786e+01,-2.962056983028347190e+00,-1.846517746647569069e-03
1.347275465623589241e+01,-2.962056983028347190e+00,-1.036905450746417046e-02
1.375062653828794623e+01,-2.962056983028347190e+00,-7.683058114100749236e-03
1.400616942981797308e+01,-2.962056983028347190e+00,-2.213249293470109791e-04
1.423938333082594454e+01,-2.962056983028347190e+00,-1.483341911807656288e-02
1.450112871972318374e+01,-2.962056983028347190e+00,-1.617497764527797699e-03
1.473000087257409518e+01,-2.962056983028347190e+00,-1.609546986098053800e-02
1.500787275462614900e+01,-2.962056983028347190e+00,-5.838480622818442711e-03
1.526279539641943472e+01,-2.962056983028347190e+00,-6.460825291773053536e-03
1.550593329321499425e+01,-2.962056983028347190e+00,-3.566682183494540581e-03
1.576829893184896036e+01,-2.962056983028347190e+00,-9.724156310160214645e-03
1.599903183391003836e+01,-2.962056983028347190e+00,5.216454155743122101e-03
1.628062521438242527e+01,-2.962056983028347190e+00,-8.766578199962404838e-03
1.652872510907177173e+01,-2.962056983028347190e+00,-7.596635259687900543e-03
1.676752125771024282e+01,-2.962056983028347190e+00,1.017621252685785294e-03
1.702988689634422315e+01,-2.962056983028347190e+00,-9.815798451503487954e-03
1.726124004814202806e+01,-2.962056983028347190e+00,-4.624412395060062408e-03
1.754221317887768805e+01,-2.962056983028347190e+00,-1.143018404642703878e-02
1.779403457198736760e+01,-2.962056983028347190e+00,-8.185972304393107635e-03
1.803717246878291292e+01,-2.962056983028347190e+00,-9.307847358286380768e-03
1.830077860689033287e+01,-2.962056983028347190e+00,5.412691583228657066e-04
1.852530901158417009e+01,-2.962056983028347190e+00,-7.388119896253320107e-03
1.880938339100346468e+01,-2.962056983028347190e+00,-7.969920989125967026e-03
1.903205304648713536e+01,-2.962056983028347190e+00,-1.284789759665727615e-02
1.927581119301940760e+01,-2.962056983028347190e+00,-7.643112136671570411e-03
1.963431554084549191e+01,-2.962056983028347190e+00,-6.585331478465850097e-03
1.978813747555288671e+01,-2.962056983028347190e+00,-8.717035719503218871e-03
1.997545289604333618e+01,-2.962056983028347190e+00,-7.878635854769999725e-03
2.010570534075523597e+01,-2.962056983028347190e+00,-8.532719220966100693e-03
2.022727428915300152e+01,-2.962056983028347190e+00,-1.128981045136812078e-02
2.033767874228975359e+01,-2.962056983028347190e+00,-7.661726946631697288e-03
2.045180469384685296e+01,-2.962056983028347190e+00,-6.852411509802314171e-03
2.053863965698812422e+01,-2.962056983028347190e+00,-1.585376836980345594e-02
2.055662689935309118e+01,-2.962056983028347190e+00,-5.709348867337649125e-03
2.060624687829096047e+01,-2.962056983028347190e+00,-7.342031070342036614e-03
2.063229736723333474e+01,-2.962056983028347190e+00,-1.085513892273071157e-02
2.064656311117798282e+01,-2.962056983028347190e+00,-1.798374190305707110e-02
2.159306420941778981e+01,-1.102529866312693230e+00,-6.334689290573569664e-03
2.159306420941778981e+01,-1.102529866312693230e+00,6.244122050702571869e-03
2.158748196178727596e+01,-1.102529866312693230e+00,-1.163495083649879192e-02
2.157011496915902171e+01,-1.102529866312693230e+00,1.448856201022863388e-02
2.153103923574545320e+01,-1.102529866312693230e+00,-2.352773056676360497e-03
2.147397625996690351e+01,-1.102529866312693230e+00,2.226928093781443962e-03
2.140450828945388650e+01,-1.102529866312693230e+00,-1.033702865242958069e-02
2.123269911238152474e+01,-1.102529866312693230e+00,-2.029764776428577555e-02
2.107701642846397760e+01,-1.102529866312693230e+00,-2.161095229291642994e-04
2.095234623138257746e+01,-1.102529866312693230e+00,-1.235500288506719002e-03
2.082023303746051113e+01,-1.101919384659147738e+00,-7.715316799778992873e-03
2.065710735670226939e+01,-1.101919384659147738e+00,8.784102586408826241e-03
2.054050040619829076e+01,-1.101919384659147738e+00,-3.212612743179743546e-03
2.027751451782759773e+01,-1.101919384659147738e+00,-1.044905123611661324e-03
2.006911060628856092e+01,-1.101919384659147738e+00,-1.097120887910252307e-02
1.981294746502182136e+01,-1.101919384659147738e+00,-7.724661069612448472e-03
1.958593606138107646e+01,-1.101919384659147738e+00,-2.978497650474309921e-03
1.932543117195727689e+01,-1.101919384659147738e+00,-1.136104886730437968e-02
1.909469826989619889e+01,-1.101919384659147738e+00,-1.052040606737136841e-02
1.883729462915601971e+01,-1.101919384659147738e+00,-9.119044989347457886e-04
1.855384049947345204e+01,-1.101919384659147738e+00,2.247898373752832413e-03
1.832931009477960060e+01,-1.101919384659147738e+00,-3.380433190613985062e-03
1.807128620430269450e+01,-1.101919384659147738e+00,-5.813012830913066864e-03
1.783683180382126920e+01,-1.101919384659147738e+00,-8.357432670891284943e-03
1.756702316834662270e+01,-1.101919384659147738e+00,2.644277022531005272e-03
1.728418928840078195e+01,-1.101919384659147738e+00,-7.078928562502806443e-03
1.705469688581315779e+01,-1.101919384659147738e+00,-8.731548829624680153e-03
1.679667299533625169e+01,-1.101919384659147738e+00,-2.588812882701185814e-03
1.656780084248534024e+01,-1.101919384659147738e+00,-1.031026088943010066e-02
1.630295420490446645e+01,-1.101919384659147738e+00,-8.286714243392889756e-03
1.602322157364224609e+01,-1.101919384659147738e+00,-6.217195186764001846e-03
1.579683041973822810e+01,-1.101919384659147738e+00,-7.276019702354696861e-03
1.554066727847148854e+01,-1.101919384659147738e+00,-8.574729630103083977e-03
1.529939013088612398e+01,-1.101919384659147738e+00,7.399206515401601791e-03
1.503764474198887058e+01,-1.101919384659147738e+00,-1.098455395549535751e-02
1.475481086204302983e+01,-1.101919384659147738e+00,-9.747474299122149688e-03
1.452655895892884530e+01,-1.101919384659147738e+00,-7.424177601933479309e-03
1.426853506845193920e+01,-1.101919384659147738e+00,-1.145644734303119527e-02
1.402849842034000005e+01,-1.101919384659147738e+00,-1.319370154912236082e-02
1.377233527907327471e+01,-1.101919384659147738e+00,-8.037519486000510582e-03
1.349322289754776705e+01,-1.101919384659147738e+00,-4.829008442660542855e-03
1.326621149390702215e+01,-1.101919384659147738e+00,-1.694189462189910067e-02
1.300880785316684296e+01,-1.101919384659147738e+00,-1.459805450092499512e-03
1.277249270347525112e+01,-1.101919384659147738e+00,-1.341265936692592753e-02
1.250702581615766462e+01,-1.101919384659147738e+00,-2.273511684810158862e-02
1.222853368436889099e+01,-1.101919384659147738e+00,-8.323447157938534957e-03
1.199780078230781299e+01,-1.101919384659147738e+00,-1.422899076715111732e-02
1.174101739130435362e+01,-1.101919384659147738e+00,-1.072253411014911784e-02
1.150222124266586832e+01,-1.101919384659147738e+00,-7.554791712511832458e-03
1.124419735218896221e+01,-1.101919384659147738e+00,-1.127814563612217214e-02
1.095205972619226742e+01,-1.101919384659147738e+00,-1.654168590903282166e-02
1.073745331728599695e+01,-1.101919384659147738e+00,-4.616092580059794059e-03
1.047942942680909084e+01,-1.101919384659147738e+00,-2.132898274188166354e-02
1.024435477659094573e+01,-1.101919384659147738e+00,4.064834987049792403e-05
9.974546141116299225e+00,-1.101919384659147738e+00,-1.447525185843345774e-02
9.700395757484585602e+00,-1.101919384659147738e+00,-7.548633341987187606e-03
9.467181856476607038e+00,-1.101919384659147738e+00,-1.440102156872513639e-02
9.211638964946594399e+00,-1.101919384659147738e+00,6.077461875975131989e-04
8.977184564465176209e+00,-1.101919384659147738e+00,-1.182801012570733334e-02
8.714198676094483176e+00,-1.101919384659147738e+00,-4.957507674893113503e-03
8.473541778245831324e+00,-1.101919384659147738e+00,-3.298383671790361404e-03
8.209935640138411372e+00,-1.101919384659147738e+00,-6.541054851064709297e-03
7.951911749661505269e+00,-1.101919384659147738e+00,-6.081035826355218887e-03
7.713735850759746882e+00,-1.101919384659147738e+00,-1.797027653083205223e-02
7.445167714758540001e+00,-1.101919384659147738e+00,-7.998275881012650856e-03
7.194586821122314291e+00,-1.101919384659147738e+00,-1.877230436851617945e-02
6.934702181435234536e+00,-1.101919384659147738e+00,-4.834064748138189316e-03
6.679779539641948816e+00,-1.101919384659147738e+00,-1.992243730152609693e-02
6.449666887317590636e+00,-1.101919384659147738e+00,1.983251422643661499e-04
6.184820249736723952e+00,-1.101919384659147738e+00,-2.329922669256689893e-02
5.945403851361518832e+00,-1.101919384659147738e+00,-8.443413147081191283e-03
5.681797713254105986e+00,-1.101919384659147738e+00,-1.148951705545186996e-02
5.424394072513919696e+00,-1.101919384659147738e+00,-5.296016267190006843e-03
5.188078922822327854e+00,-1.101919384659147738e+00,-8.878251537680625916e-03
4.917029787874234614e+00,-1.101919384659147738e+00,5.292469480385753045e-03
4.676372890025575657e+00,-1.101919384659147738e+00,-4.876591265201568604e-03
4.425791996389349947e+00,-1.101919384659147738e+00,-1.052589699005124224e-02
4.214907085903419670e+00,-1.101919384659147738e+00,-1.449471650024625191e-03
4.025110666466076736e+00,-1.101919384659147738e+00,-8.075082829842594734e-03
3.661644320746205494e+00,-1.101919384659147738e+00,-1.267394982278347015e-02
3.525189378667072049e+00,-1.101919384659147738e+00,1.415016595274209976e-03
3.340354957123516044e+00,-1.101919384659147738e+00,-1.360470196232199669e-02
3.233672002407104173e+00,-1.101919384659147738e+00,-4.192612444360310775e-03
3.144356040318946555e+00,-1.101919384659147738e+00,-6.955928013970824608e-03
3.059381826387848946e+00,-1.101919384659147738e+00,-6.947336563219996819e-03
2.981230359560704812e+00,-1.101919384659147738e+00,-1.451048689583900320e-02
2.923547134045435314e+00,-1.101919384659147738e+00,-7.086926295112316865e-03
2.874547404844292942e+00,-1.101919384659147738e+00,-9.870734841872508269e-03
2.847876666165191750e+00,-1.101919384659147738e+00,-2.821348607540130615e-03
2.837332420640890973e+00,-1.101919384659147738e+00,-8.112781991560513717e-03
2.834231171957277695e+00,-1.101919384659147738e+00,-1.546066875259044515e-02
